Date,connectedness
2015-03-30,0.01383399209486166
2015-04-06,0.017786561264822136
2015-04-13,0.01383399209486166
2015-06-01,0.009057971014492754
2015-06-08,0.010869565217391304
2015-06-15,0.012681159420289856
2015-06-22,0.036231884057971016
2015-06-29,0.42028985507246375
2015-07-06,0.2608695652173913
2015-07-13,0.29528985507246375
2015-07-20,0.09420289855072464
2015-07-27,0.10507246376811594
2015-08-03,0.11594202898550725
2015-08-10,0.08695652173913043
2015-09-28,0.08615384615384615
2015-10-05,0.12615384615384614
2015-10-12,0.18615384615384614
2015-10-19,0.19384615384615383
2015-10-26,0.19846153846153847
2015-11-02,0.19692307692307692
2015-11-09,0.2
2015-11-16,0.21384615384615385
2015-11-23,0.24
2015-11-30,0.23076923076923078
2015-12-07,0.21846153846153846
2015-12-14,0.20797720797720798
2016-02-01,0.03418803418803419
2016-02-08,0.17806267806267806
2016-02-15,0.349002849002849
2016-02-22,0.10113960113960115
2016-02-29,0.0811965811965812
2016-03-07,0.04843304843304843
2016-03-14,0.05270655270655271
2016-03-21,0.04700854700854701
2016-03-28,0.042735042735042736
2016-04-04,0.04843304843304843
2016-04-11,0.045584045584045586
2016-05-30,0.042328042328042326
2016-06-06,0.04365079365079365
2016-06-13,0.03968253968253968
2016-06-20,0.027777777777777776
2016-06-27,0.09523809523809523
2016-07-04,0.08465608465608465
2016-07-11,0.08068783068783068
2016-07-18,0.051587301587301584
2016-07-25,0.07407407407407407
2016-08-01,0.20502645502645503
2016-08-08,0.14814814814814814
2016-09-26,0.20238095238095238
2016-10-03,0.27645502645502645
2016-10-10,0.2751322751322751
2016-10-17,0.2566137566137566
2016-10-24,0.2552910052910053
2016-10-31,0.2619047619047619
2016-11-07,0.2857142857142857
2016-11-14,0.2791005291005291
2016-11-21,0.2976190476190476
2016-11-28,0.23941798941798942
2016-12-05,0.2619047619047619
2017-01-23,0.2275132275132275
2017-01-30,0.03835978835978836
2017-02-06,0.15476190476190477
2017-02-13,0.12301587301587301
2017-02-20,0.12169312169312169
2017-02-27,0.1111111111111111
2017-03-06,0.11904761904761904
2017-03-13,0.12169312169312169
2017-03-20,0.1111111111111111
2017-03-27,0.11904761904761904
2017-04-03,0.11507936507936507
2017-05-22,0.10846560846560846
2017-05-29,0.10582010582010581
2017-06-05,0.08862433862433862
2017-06-12,0.10052910052910052
2017-06-19,0.08862433862433862
2017-06-26,0.08597883597883597
2017-07-03,0.0582010582010582
2017-07-10,0.056878306878306875
2017-07-17,0.07539682539682539
2017-07-24,0.07407407407407407
2017-07-31,0.05291005291005291
2017-09-18,0.06746031746031746
2017-09-25,0.05952380952380952
2017-10-02,0.0582010582010582
2017-10-09,0.07142857142857142
2017-10-16,0.07142857142857142
2017-10-23,0.06746031746031746
2017-10-30,0.07804232804232804
2017-11-06,0.082010582010582
2017-11-13,0.08068783068783068
2017-11-20,0.08862433862433862
2017-11-27,0.07407407407407407
2018-01-15,0.06746031746031746
2018-01-22,0.10846560846560846
2018-01-29,0.1283068783068783
2018-02-05,0.082010582010582
2018-02-12,0.06746031746031746
2018-02-19,0.07407407407407407
2018-02-26,0.06084656084656084
2018-03-05,0.06481481481481481
2018-03-12,0.06084656084656084
2018-03-19,0.07275132275132275
2018-03-26,0.082010582010582
2018-04-02,0.0873015873015873
2018-05-21,0.082010582010582
2018-05-28,0.09656084656084656
2018-06-04,0.10846560846560846
2018-06-11,0.07539682539682539
2018-06-18,0.07804232804232804
2018-06-25,0.07407407407407407
2018-07-02,0.07804232804232804
2018-07-09,0.09391534391534391
2018-07-16,0.08068783068783068
2018-07-23,0.08333333333333333
2018-07-30,0.07671957671957672
2018-09-17,0.08333333333333333
2018-09-24,0.08333333333333333
2018-10-01,0.09259259259259259
2018-10-08,0.07804232804232804
2018-10-15,0.0873015873015873
2018-10-22,0.08994708994708994
2018-10-29,0.09523809523809523
2018-11-05,0.06746031746031746
2018-11-12,0.06084656084656084
2018-11-19,0.06613756613756613
2018-11-26,0.06349206349206349
2019-01-14,0.0582010582010582
2019-01-21,0.07275132275132275
2019-01-28,0.05952380952380952
2019-02-04,0.07804232804232804
2019-02-11,0.07407407407407407
2019-02-18,0.0582010582010582
2019-02-25,0.06613756613756613
2019-03-04,0.06613756613756613
2019-03-11,0.07936507936507936
2019-03-18,0.07936507936507936
2019-03-25,0.09259259259259259
2019-05-13,0.06613756613756613
2019-05-20,0.05026455026455026
2019-05-27,0.06084656084656084
2019-06-03,0.05026455026455026
2019-06-10,0.05026455026455026
2019-06-17,0.07142857142857142
2019-06-24,0.07407407407407407
2019-07-01,0.05555555555555555
2019-07-08,0.04365079365079365
2019-07-15,0.04497354497354497
2019-07-22,0.04894179894179894
2019-09-09,0.07407407407407407
2019-09-16,0.10317460317460317
2019-09-23,0.062169312169312166
2019-09-30,0.05555555555555555
2019-10-07,0.051587301587301584
2019-10-14,0.05026455026455026
2019-10-21,0.05423280423280423
2019-10-28,0.07671957671957672
2019-11-04,0.07804232804232804
2019-11-11,0.11507936507936507
2019-11-18,0.0701058201058201
2020-01-06,0.04497354497354497
2020-01-13,0.037037037037037035
2020-01-20,0.03835978835978836
2020-01-27,0.03439153439153439
2020-02-03,0.04497354497354497
2020-02-10,0.03439153439153439
2020-02-17,0.023809523809523808
2020-02-24,0.04497354497354497
2020-03-02,0.05555555555555555
2020-03-09,0.1984126984126984
2020-03-16,0.164021164021164
2020-05-04,0.1693121693121693
2020-05-11,0.1626984126984127
2020-05-18,0.23941798941798942
2020-05-25,0.2208994708994709
2020-06-01,0.2208994708994709
2020-06-08,0.20767195767195767
2020-06-15,0.17989417989417988
2020-06-22,0.20238095238095238
2020-06-29,0.20105820105820105
2020-07-06,0.1865079365079365
2020-07-13,0.16137566137566137
2020-07-20,0.1574074074074074
2020-09-07,0.167989417989418
2020-09-14,0.164021164021164
2020-09-21,0.10978835978835978
2020-09-28,0.07671957671957672
2020-10-05,0.06878306878306878
2020-10-12,0.20899470899470898
2020-10-19,0.06481481481481481
2020-10-26,0.003968253968253968
2020-11-02,0.09391534391534391
2020-11-09,0.03439153439153439
2020-11-16,0.04497354497354497
2021-01-04,0.047619047619047616
2021-01-11,0.06878306878306878
2021-01-18,0.07142857142857142
2021-01-25,0.06481481481481481
2021-02-01,0.06878306878306878
2021-02-08,0.056878306878306875
2021-02-15,0.051587301587301584
2021-02-22,0.04365079365079365
2021-03-01,0.042328042328042326
2021-03-08,0.03968253968253968
2021-03-15,0.06878306878306878
2021-05-03,0.12037037037037036
2021-05-10,0.1164021164021164
2021-05-17,0.11772486772486772
2021-05-24,0.12169312169312169
2021-05-31,0.15608465608465608
2021-06-07,0.1574074074074074
2021-06-14,0.21957671957671956
2021-06-21,0.05423280423280423
2021-06-28,0.082010582010582
2021-07-05,0.0992063492063492
2021-07-12,0.09126984126984126
2021-08-30,0.0582010582010582
2021-09-06,0.07804232804232804
2021-09-13,0.08862433862433862
2021-09-20,0.08068783068783068
2021-09-27,0.1693121693121693
2021-10-04,0.164021164021164
2021-10-11,0.20767195767195767
2021-10-18,0.20502645502645503
2021-10-25,0.21031746031746032
2021-11-01,0.21296296296296297
2021-11-08,0.2275132275132275
2021-12-27,0.2328042328042328
2022-01-03,0.23677248677248677
2022-01-10,0.2619047619047619
2022-01-17,0.25396825396825395
2022-01-24,0.1931216931216931
2022-01-31,0.2037037037037037
2022-02-07,0.16137566137566137
2022-02-14,0.1970899470899471
2022-02-21,0.15079365079365079
2022-02-28,0.10582010582010581
2022-03-07,0.09391534391534391
2022-04-25,0.056878306878306875
2022-05-02,0.046296296296296294
2022-05-09,0.041005291005291
2022-05-16,0.041005291005291
2022-05-23,0.05555555555555555
2022-05-30,0.03571428571428571
2022-06-06,0.026455026455026454
2022-06-13,0.03042328042328042
2022-06-20,0.037037037037037035
2022-06-27,0.03439153439153439
2022-07-04,0.031746031746031744
2022-08-22,0.027777777777777776
2022-08-29,0.02513227513227513
2022-09-05,0.04365079365079365
2022-09-12,0.03439153439153439
2022-09-19,0.0291005291005291
2022-09-26,0.03571428571428571
2022-10-03,0.04894179894179894
2022-10-10,0.03306878306878307
2022-10-17,0.023809523809523808
2022-10-24,0.026455026455026454
2022-10-31,0.08465608465608465
2022-11-07,0.12962962962962962
2023-01-02,0.0992063492063492
2023-01-09,0.10846560846560846
2023-01-16,0.09656084656084656
2023-01-23,0.06746031746031746
2023-01-30,0.03571428571428571
2023-02-06,0.041005291005291
2023-02-13,0.051587301587301584
2023-02-20,0.05555555555555555
2023-02-27,0.06878306878306878
2023-03-06,0.06349206349206349
2023-04-24,0.027777777777777776
2023-05-01,0.02513227513227513
2023-05-08,0.031746031746031744
2023-05-15,0.03968253968253968
2023-05-22,0.05423280423280423
2023-05-29,0.06878306878306878
2023-06-05,0.06084656084656084
2023-06-12,0.0582010582010582
2023-06-19,0.05423280423280423
2023-06-26,0.0582010582010582
2023-07-03,0.05952380952380952
2023-08-21,0.046296296296296294
2023-08-28,0.03968253968253968
2023-09-04,0.04365079365079365
2023-09-11,0.04894179894179894
2023-09-18,0.05291005291005291
2023-09-25,0.04365079365079365
2023-10-02,0.06746031746031746
2023-10-09,0.05555555555555555
2023-10-16,0.06084656084656084
2023-10-23,0.04497354497354497
2023-10-30,0.046296296296296294
2023-12-18,0.05555555555555555
